"","POLINTR","STFLIFE","FREEHMS","IMUECLT","HAPPY","INPRDSC","ALCWKND","WRHPP","FLTSD","AGEA","CHLDHM","WKHTOT","happ","stflif","polint","imuecl"
"204",4,9,3,3,9,2,0,4,1,22,1,38,1,1,0,0
"205",3,10,2,6,9,4,17,4,1,71,2,38,1,1,0,1
"206",2,4,1,7,8,4,136,3,1,39,1,50,1,0,1,1
"207",1,10,2,9,9,6,25,2,1,63,2,50,1,1,1,1
"208",2,8,1,7,8,1,86,1,2,38,1,45,1,1,1,1
"209",3,7,1,7,6,3,54,2,1,48,1,38,0,1,0,1
"210",2,9,1,3,9,5,74,3,2,55,1,35,1,1,1,0
"211",2,7,2,3,7,1,132,2,1,65,2,40,0,1,1,0
"212",3,10,2,7,9,4,12,4,1,55,2,38,1,1,0,1
"213",3,9,1,6,8,0,24,3,2,80,2,38,1,1,0,1
"214",3,4,5,5,5,1,93,1,4,29,1,10,0,0,0,0
"215",3,6,1,8,8,3,54,2,1,66,2,43,1,0,0,1
"216",2,8,1,4,7,4,25,3,1,54,1,8,0,1,1,0
"217",2,8,2,7,8,3,35,3,1,66,2,29,1,1,1,1
"218",3,8,1,5,8,0,0,3,1,20,2,40,1,1,0,0
"219",3,10,1,7,10,2,17,3,1,61,1,39,1,1,0,1
"220",2,10,1,8,10,1,47,3,2,57,1,40,1,1,1,1
"221",3,6,3,6,6,1,60,3,2,74,2,38,0,0,0,1
"222",2,8,2,8,8,2,80,3,1,32,2,42,1,1,1,1
"223",3,8,3,2,8,2,35,3,2,34,1,38,1,1,0,0
"224",4,7,1,2,8,1,188,4,2,26,2,40,1,1,0,0
"225",2,5,2,7,5,3,17,4,1,76,2,38,0,0,1,1
"226",3,10,1,10,10,4,30,4,1,73,2,34,1,1,0,1
"227",3,5,1,4,7,6,25,4,1,44,1,38,0,0,0,0
"228",3,7,2,7,8,4,0,3,1,20,2,8,1,1,0,1
"229",2,8,1,7,8,4,17,3,1,42,1,38,1,1,1,1
"230",3,8,1,8,8,5,74,3,1,38,2,40,1,1,0,1
"231",2,7,1,7,7,2,52,2,2,37,2,50,0,1,1,1
"232",3,8,2,5,8,3,17,3,1,38,2,40,1,1,0,0
"233",2,7,2,5,9,4,17,3,1,46,1,40,1,1,1,0
"234",3,5,2,7,7,3,25,4,1,47,1,36,0,0,0,1
"235",4,10,1,0,10,2,116,4,1,35,1,80,1,1,0,0
"236",2,9,1,7,9,2,94,3,1,49,1,38,1,1,1,1
"237",2,10,1,5,9,6,98,4,1,37,2,0,1,1,1,0
"238",4,10,2,0,5,4,188,2,1,23,2,10,0,1,0,0
"239",3,7,2,5,4,0,81,2,2,32,2,40,0,1,0,0
"240",4,7,2,3,10,4,36,3,2,36,1,40,1,1,0,0
"241",2,6,2,2,6,3,113,3,2,40,1,40,0,0,1,0
"242",2,8,2,5,8,2,12,4,1,76,2,40,1,1,1,0
